province,municipality,id,primary,secondary,lat,lng,precise,contact
Aklan,Kalibo,"Kalibo, Aklan",COMELEC Office Kalibo,"Municipal Hall, Poblacion, Kalibo, Aklan",11.7088966,122.3640225,TRUE,362688704
Aklan,Lezo,"Lezo, Aklan",COMELEC Office Lezo,"2nd Floor Municipal Hall, Poblacion, Lezo, Aklan",11.6671058,122.3286614,TRUE,362747536
Aklan,Libacao,"Libacao, Aklan",COMELEC Office Libacao,"2nd Floor Municipal Hall, Poblacion, Libacao, Aklan",11.480692,122.3024183,TRUE,362732050
Aklan,Madalag,"Madalag, Aklan",COMELEC Office Madalag,"Old Municipal Hall, Poblacion, Madalag, Aklan",11.5265494,122.306494,TRUE,362723621
Aklan,Makato,"Makato, Aklan",COMELEC Office Makato,"Municipal Hall, Poblacion, Makato, Aklan",11.7116342,122.2924728,TRUE,
Aklan,Malay,"Malay, Aklan",COMELEC Office Malay,"Municipal Hall, Poblacion, Malay, Aklan",11.9000941,121.9099,TRUE,362888776
Aklan,Malinao,"Malinao, Aklan",COMELEC Office Malinao,"Municipal Hall, Poblacion, Malinao, Aklan",11.6437882,122.3077295,TRUE,362724312
Aklan,Nabas,"Nabas, Aklan",COMELEC Office Nabas,"Municipal Tourism Building, Poblacion, Nabas, Aklan",11.828728,122.0924043,TRUE,362891451
Aklan,New Washington,"New Washington, Aklan",COMELEC Office New Washington,"Municipal Training Center, Bay Part, Brgy. Tambak, New Washington, Aklan",11.6486345,122.432832,TRUE,
Aklan,Numancia,"Numancia, Aklan",COMELEC Office Numancia,"2nd Floor Municipal Hall, Poblacion, Numancia, Aklan",11.704435,122.3288949,TRUE,362653408
Aklan,Tangalan,"Tangalan, Aklan",COMELEC Office Tangalan,"2nd Floor Municipal Hall, Poblacion, Tangalan, Aklan",11.7770629,122.2601806,TRUE,362722304
Albay,Bacacay,"Bacacay, Albay",COMELEC Office Bacacay,"Ground Floor, Municipal Bldg., Magsaysay Ave., Brgy. 4 (Poblacion), Bacacay",13.2926072,123.7912494,TRUE,09396197194 / (052) 5583279
Albay,Camalig,"Camalig, Albay",COMELEC Office Camalig,"2nd Floor Gateway Mall, Brgy. 3 (Poblacion), Camalig",13.1815738,123.6552668,FALSE,9309740048
Albay,Daraga,"Daraga, Albay",COMELEC Office Daraga,"2nd Floor, Municipal Hall Compound, Brgy. San Roque, Daraga",13.1484096,123.7161273,TRUE,9088841519
Albay,Guinobatan,"Guinobatan, Albay",COMELEC Office Guinobatan,"Ground Floor, Municipal Bldg., Poblacion, Guinobatan",13.1904597,123.5999458,TRUE,9326260506
Albay,Jovellar,"Jovellar, Albay",COMELEC Office Jovellar,"Municipal Annex Bldg., Brgy. Rizal, Jovellar",13.0693487,123.6002707,TRUE,9154164169
Albay,Legazpi City,"Legazpi City, Albay",COMELEC Office Legazpi City,"City Hall Compound, Old Albay District, Brgy. 13, Legazpi City",13.1388596,123.7343104,TRUE,09190021033 / 09163913851
Albay,Libon,"Libon, Albay",COMELEC Office Libon,"Zone IV, Macapagal Center, Libon",13.2988701,123.4360839,FALSE,9291525775
Albay,Ligao City,"Ligao City, Albay",COMELEC Office Ligao City,"Ground Floor, Ligao City Hall, Brgy. Sta. Cruz, Ligao City",13.2402789,123.5365227,TRUE,09217702433 / 09176398514
Albay,Malilipot,"Malilipot, Albay",COMELEC Office Malilipot,"2nd Floor, Municipal Hall Bldg., Brgy. 2, Poblacion, Malilipot",13.3190483,123.7392658,TRUE,9195404024
Albay,Malinao,"Malinao, Albay",COMELEC Office Malinao,"Old Sangguniang Bayan Bldg., Poblacion, Malinao",13.3974574,123.7049776,FALSE,9399634479
Albay,Manito,"Manito, Albay",COMELEC Office Manito,"Ground Floor, Municipal Bldg., ItBa, Manito",13.1244799,123.8697031,TRUE,9393643472
Albay,Oas,"Oas, Albay",COMELEC Office Oas,"Municipal Hall Bldg., Ilaor Sur, Oas",13.2570425,123.5001669,TRUE,9468800710
Albay,Pio Duran,"Pio Duran, Albay",COMELEC Office Pio Duran,"SB Bldg., Brgy. Caratagan, Pioduran",13.0296985,123.4431423,FALSE,9552988614
Albay,Polangui,"Polangui, Albay",COMELEC Office Polangui,"Calle Real Corner Espinas Ave., Purok Venus, Centro Occidental, Polangui",13.293769,123.4843893,FALSE,09173801175 / 09999944701
Albay,Rapu Rapu,"Rapu Rapu, Albay",COMELEC Office Rapu Rapu,"Zubiri Bldg., Poblacion, RapuRapu",13.1876429,124.1266157,FALSE,9293666401
Albay,Santo Domingo,"Santo Domingo, Albay",COMELEC Office Santo Domingo,"2nd Floor, Public Market Bldg., Brgy. Market Site, Sto. Domingo",13.2371495,123.7774835,FALSE,9774627421
Albay,Tabaco City,"Tabaco City, Albay",COMELEC Office Tabaco City,"Ground Floor, City Hall Annex Bldg., QuinaleCabasan, Tabaco City",13.3593077,123.7302007,TRUE,9175346956
Albay,Tiwi,"Tiwi, Albay",COMELEC Office Tiwi,"2nd Floor, Municipal Bldg., Tigbi, Tiwi",13.4569196,123.6796912,TRUE,9175049135
Apayao,CALANASAN,"CALANASAN, Apayao",COMELEC Office CALANASAN,"Poblacion, Calanasan, Apayao",18.2549944,121.0426034,FALSE,
Apayao,CONNER,"CONNER, Apayao",COMELEC Office CONNER,"LGU Building, Caglayan, Conner, Apayao",17.7495258,121.3053048,FALSE,
Apayao,FLORA,"FLORA, Apayao",COMELEC Office FLORA,"Poblacion, West, Flora, Apayao",18.2148452,121.4191186,FALSE,
Apayao,KABUGAO,"KABUGAO, Apayao",COMELEC Office KABUGAO,"Poblacion, Kabugao, Apayao",18.022963,121.1841242,FALSE,
Apayao,LUNA,"LUNA, Apayao",COMELEC Office LUNA,"Stall #2, BGV Gym, Poblacion, Luna, Apayao",18.3312102,121.3729788,FALSE,
Apayao,PUDTOL,"PUDTOL, Apayao",COMELEC Office PUDTOL,"LGU Building, Poblacion, Pudtol, Apayao",18.2380574,121.3731587,FALSE,
Apayao,SANTA MARCELA,"SANTA MARCELA, Apayao",COMELEC Office SANTA MARCELA,"LGU Building, San Carlos, Sta. Marcela, Apayao",18.2875298,121.4359707,FALSE,
Aurora,Baler,"Baler, Aurora",COMELEC Office Baler,"Municipal Building, Barangay 5, 3200 Baler, Aurora",15.759086,121.5627247,TRUE,9088893607
Aurora,Casiguran,"Casiguran, Aurora",COMELEC Office Casiguran,"Municipal Building, Liwayway St., Brgy. 04 Poblacion, Casiguran, Aurora",16.2770406,122.1233258,TRUE,9288718841
Aurora,Dilasag,"Dilasag, Aurora",COMELEC Office Dilasag,"Municipal Building, Barangay Masagana, Dilasag, Aurora",16.393824,122.2114756,TRUE,9481120531
Aurora,Dinalungan,"Dinalungan, Aurora",COMELEC Office Dinalungan,"Municipal Building, Barangay Zone II, Dinalungan, Aurora",16.1403381,121.9575186,TRUE,9212895580
Aurora,Dingalan,"Dingalan, Aurora",COMELEC Office Dingalan,"Municipal Building, Barangay Poblacion, Dingalan, Aurora",15.3894081,121.3927168,TRUE,9382500044
Aurora,Dipaculao,"Dipaculao, Aurora",COMELEC Office Dipaculao,"Municipal Building, Barangay  Poblacion, Dipaculao, Aurora",15.8477922,121.5367849,TRUE,9464069913
Aurora,Maria Aurora,"Maria Aurora, Aurora",COMELEC Office Maria Aurora,"Municipal Building, Barangay 3, Maria Aurora, Aurora",15.7982599,121.4723121,TRUE,9999946170
Aurora,San Luis,"San Luis, Aurora",COMELEC Office San Luis,"Municipal Building, Barangay 4, San Luis, Aurora",15.7191175,121.5178817,TRUE,9998460348
Basilan,Akbar,"Akbar, Basilan",COMELEC Office Akbar,"Municipal Hall, Brgy. Upper BatoBato, Akbar Municipality, Basilan",6.6632364,122.1947729,TRUE,
Basilan,AlBarka,"AlBarka, Basilan",COMELEC Office AlBarka,"Municipal Hall, Brgy. Magcawa, AlBarka Municipality, Basilan",6.4896261,122.1514624,TRUE,
Basilan,Hadji Mohammad Ajul,"Hadji Mohammad Ajul, Basilan",COMELEC Office Hadji Mohammad Ajul,"Brgy. Buton, Hadji Mohammad Ajul Municipality, Basilan",6.6410339,122.2712601,TRUE,
Basilan,Hadji Muhtamad,"Hadji Muhtamad, Basilan",COMELEC Office Hadji Muhtamad,"Brgy. Tausan, Hadji Muhtamad Municipality, Basilan",6.6595969,121.6045202,TRUE,
Basilan,Isabela City,"Isabela City, Basilan",COMELEC Office Isabela City,"City Hall, Infirmary Bldg., Brgy. Sunrise, Isabela City, Basilan",6.7055236,121.9726402,TRUE,
Basilan,Lamitan City,"Lamitan City, Basilan",COMELEC Office Lamitan City,"Oval Site, Brgy. Matibay, Lamitan City, Basilan",6.6580883,122.1369469,FALSE,
Basilan,Lantawan,"Lantawan, Basilan",COMELEC Office Lantawan,"Municipal Hall, Brgy. AtongAtong, Lantawan Municipality, Basilan",6.6391009,121.8400672,TRUE,
Basilan,Maluso,"Maluso, Basilan",COMELEC Office Maluso,"Brgy. Upper Port Holland, Maluso Municipality, Basilan",6.5460893,121.8712404,TRUE,
Basilan,Sumisip,"Sumisip, Basilan",COMELEC Office Sumisip,"Brgy. BuliBuli Municipal Hall, Sumisip Municipality, Basilan",6.45,121.966667,TRUE,
Basilan,Tabuan Lasa,"Tabuan Lasa, Basilan",COMELEC Office Tabuan Lasa,"Brgy. Lanawan, TabuanLasa Municipality, Basilan",6.3160455,121.9286372,TRUE,
Basilan,TipoTipo,"TipoTipo, Basilan",COMELEC Office TipoTipo,"TipoTipo Proper, TipoTipo Municipality, Basilan",6.5005282,122.1210994,TRUE,
Basilan,Tuburan,"Tuburan, Basilan",COMELEC Office Tuburan,"Brgy. Lower Tablas, Tuburan Municipality, Basilan",6.6069678,122.1925306,TRUE,
Basilan,Ungkaya Pukan,"Ungkaya Pukan, Basilan",COMELEC Office Ungkaya Pukan,"Brgy. Bohe Pahuh, Ungkaya Pukan Municipality, Basilan",6.494962,122.1054143,TRUE,
Bataan,Abucay,"Abucay, Bataan",COMELEC Office Abucay,"3/F Municipal Hall Bldg., Brgy. Calaylayan, Abucay, Bataan",14.7213146,120.5348704,TRUE,(047) 613 5904
Bataan,Bagac,"Bagac, Bataan",COMELEC Office Bagac,"G/F Municipal Hall, Atilano L. Ricardo, Bagac, Bataan",14.5967431,120.3922913,TRUE,
Bataan,Balanga City,"Balanga City, Bataan",COMELEC Office Balanga City,"Capitol Compound, Tenejero, Balanga City, Bataan",14.6795669,120.5409693,FALSE,(047) 6136281
Bataan,Dinalupihan,"Dinalupihan, Bataan",COMELEC Office Dinalupihan,"G/F Municipal Town Hall, Brgy. San Ramon, Dinalupihan, Bataan",14.8673996,120.461031,TRUE,(047) 237 1172
Bataan,Hermosa,"Hermosa, Bataan",COMELEC Office Hermosa,"3/F Municipal Hall Building Hermosa, Bataan",14.8302478,120.5086406,TRUE,(047) 633 9050/09198359537
Bataan,Limay,"Limay, Bataan",COMELEC Office Limay,"Comelec Bldg., Brgy. Townsite, Limay, Bataan",14.5625242,120.5949559,FALSE,(047) 613 5568
Bataan,Mariveles,"Mariveles, Bataan",COMELEC Office Mariveles,"OEO, 2/F Motorpool Bldg., LGU Compound, Brgy. Poblacion, Mariveles, Bataan",14.4356104,120.4903545,FALSE,(047) 633 1890
Bataan,Morong,"Morong, Bataan",COMELEC Office Morong,"2/F Municipal Hall Bldg., Burgos St., Poblacion, Morong, Bataan",14.6779981,120.2652634,TRUE,9064773376
Bataan,Orani,"Orani, Bataan",COMELEC Office Orani,"Municipal Compound Centro I, Orani, Bataan",14.8012181,120.5362038,TRUE,(047) 237 2140
Bataan,Orion,"Orion, Bataan",COMELEC Office Orion,"G/F Municipal Hall Building, Brgy. San Vicente, Orion, Bataan",14.62157,120.5772317,TRUE,(047) 237 1425
Bataan,Pilar,"Pilar, Bataan",COMELEC Office Pilar,"G/F DILG Bldg., Municipal Compound, Panilao, Pilar, Bataan",14.6669245,120.5528157,TRUE,(047) 613 5646
Bataan,Samal,"Samal, Bataan",COMELEC Office Samal,"Senior Citizen's Bldg., Beside Samal Public Market, Tabing Ilog, Samal, Bataan",14.7693766,120.5421795,FALSE,(047) 633 9641
Batanes,BASCO,"BASCO, Batanes",COMELEC Office BASCO,"DOJ Bldg., Kaychanarianan, Basco, Batanes",20.4509391,121.9694855,FALSE,
Batanes,ITBAYAT,"ITBAYAT, Batanes",COMELEC Office ITBAYAT,"HRTC, San Rafael, Itbayat, Batanes",20.7878139,121.8414735,FALSE,
Batanes,IVANA,"IVANA, Batanes",COMELEC Office IVANA,"Multipurpose Bldg., Salagao, Ivana, Batanes",20.3709221,121.9145002,FALSE,
Batanes,MAHATAO,"MAHATAO, Batanes",COMELEC Office MAHATAO,"Mun. Bldg., Uvoy, Mahatao, Batanes",20.4164659,121.948428,TRUE,
Batanes,SABTANG,"SABTANG, Batanes",COMELEC Office SABTANG,"Municipal Bldg., Sinakan, Sabtang, Batanes",20.3347734,121.8722738,TRUE,
Batanes,UYUGAN,"UYUGAN, Batanes",COMELEC Office UYUGAN,"Mun. Bldg., Kayuganan, Uyugan, Batanes",20.3495326,121.9380527,TRUE,
Batangas,AGONCILLO,"AGONCILLO, Batangas",COMELEC Office AGONCILLO,"OEO, GRND. FLR., MUN. HALL, POB., AGONCILLO",13.934844,120.92859,TRUE,
Batangas,ALITAGTAG,"ALITAGTAG, Batangas",COMELEC Office ALITAGTAG,"OEO, Mun. Hall, Brgy. Pob., Alitagtag",13.8657814,121.0058843,TRUE,
Batangas,BALAYAN,"BALAYAN, Batangas",COMELEC Office BALAYAN,"OEO 2F Rufino B. Lainez Hall, Mun. Bldg. Plaza Rizal St., Balayan",13.9503625,120.7334844,TRUE,
Batangas,BALETE,"BALETE, Batangas",COMELEC Office BALETE,"OEO Old Mun. Bldg. Pob., Balete",14.0173703,121.0953576,TRUE,
Batangas,BATANGAS CITY,"BATANGAS CITY, Batangas",COMELEC Office BATANGAS CITY,"OEO, 2nd Flr., City Hall Complex, P. Burgos St., Pob. 17, Batangas City",13.7558718,121.0584755,TRUE,0916 356 6607
Batangas,BAUAN,"BAUAN, Batangas",COMELEC Office BAUAN,"OEO, Mun. Governor of Bauan, F. Mangobos St. Pob. I, Bauan",13.7901391,121.0076944,TRUE,
Batangas,CALACA,"CALACA, Batangas",COMELEC Office CALACA,"OEO, Marasigan St., Pob. 4, Calaca",13.9304498,120.813103,FALSE,
Batangas,CALATAGAN,"CALATAGAN, Batangas",COMELEC Office CALATAGAN,"OEO, Pob., 2, Calatagan",13.8329883,120.6322361,FALSE,
Batangas,CUENCA,"CUENCA, Batangas",COMELEC Office CUENCA,"OEO, Mun. Compound, Pob. 2, Cuenca",13.9015666,121.0492427,TRUE,
Batangas,IBAAN,"IBAAN, Batangas",COMELEC Office IBAAN,"OEO, Grnd. Flr., Mun. Bldg., Ibaan",13.8196089,121.1358204,TRUE,(043) 3124229
Batangas,LAUREL,"LAUREL, Batangas",COMELEC Office LAUREL,"OEO, Mun. Cmpd., Pob. 2, Laurel",14.0504677,120.9332215,TRUE,(043) 7744482
Batangas,LEMERY,"LEMERY, Batangas",COMELEC Office LEMERY,"OEO, Mun. Hall, Illustre Ave. Dist. 3, Lemery",13.8845702,120.914016,TRUE,9054219077
Batangas,LIAN,"LIAN, Batangas",COMELEC Office LIAN,"OEO, J.P. Rizal St., Brgy. 4, Lian",14.0361178,120.653454,FALSE,
Batangas,LIPA CITY,"LIPA CITY, Batangas",COMELEC Office LIPA CITY,"OEO, 2nd Flr., Lipa City Hall, Brgy. Maraouy, Lipa City",13.9414686,121.1642877,TRUE,(043) 4047515
Batangas,LOBO,"LOBO, Batangas",COMELEC Office LOBO,"OEO, P. Burgos St. Pob., Lobo",13.6476552,121.2102789,FALSE,(043) 7029395
Batangas,MABINI,"MABINI, Batangas",COMELEC Office MABINI,"New Mun. Bldg., Brgy. San Pioquinto, Malvar",13.7476897,120.941278,TRUE,(043) 4101786
Batangas,MALVAR,"MALVAR, Batangas",COMELEC Office MALVAR,"OEO, New. Mun. Bldg.Brgy San Pioquinto, Malvar",14.0472848,121.157631,TRUE,(043) 7782017
Batangas,Mataasnakahoy,"Mataasnakahoy, Batangas",COMELEC Office Mataasnakahoy,"OEO, Mun. Hall Cmpd., Mataas na Kahoy",13.9625226,121.1137872,TRUE,(043) 4612161
Batangas,Nasugbu,"Nasugbu, Batangas",COMELEC Office Nasugbu,"J.P. Laurel Cor. Escalera Sts., Brgy.4, Nasugbu",14.0734578,120.6322736,FALSE,(043) 7065806
Batangas,PADRE GARCIA,"PADRE GARCIA, Batangas",COMELEC Office PADRE GARCIA,"OEO, Mun. Hall Bldg. Brgy. Pob. Padre Garcia",13.8774171,121.213934,TRUE,(043) 5158450
Batangas,ROSARIO,"ROSARIO, Batangas",COMELEC Office ROSARIO,"Gualberto Ave., Brgy. B. Rosario",13.8455581,121.205819,FALSE,(043) 3210238
Batangas,SAN JOSE,"SAN JOSE, Batangas",COMELEC Office SAN JOSE,"Pob. 1, San Jose",13.8785511,121.1041375,FALSE,(043) 7028009
Batangas,SAN JUAN,"SAN JUAN, Batangas",COMELEC Office SAN JUAN,"Grnd. Flr., Mun. Cmpd., Pob., San Juan",13.8259866,121.3964157,TRUE,(043)7403770
